ULAND;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;XGCSWGS84;YGCSWGS84
2;2018;1;9;4;3;3;6;0;0;1;0;0;1;0;0;10.127073958;53.522562916
2;2018;3;15;3;2;6;4;0;0;1;1;0;0;0;0;10.015580256;53.546263739
2;2018;3;20;5;3;9;7;2;0;1;0;0;0;0;1;9.983433205;53.548390007
2;2018;4;7;5;3;2;6;0;0;1;0;0;0;0;0;10.016845841;53.587602003
2;2018;1;13;3;3;5;2;0;1;1;0;0;0;0;0;9.945888364;53.619825913
2;2018;2;18;6;3;6;4;2;0;1;1;0;0;0;0;9.968757849;53.585609875
2;2018;1;22;6;3;5;3;2;1;1;0;0;0;0;1;9.969731503;53.550912214
2;2018;5;14;1;3;9;1;0;0;1;0;0;0;0;0;10.191855408;53.472758349
2;2018;4;0;1;3;6;7;2;0;1;1;0;0;0;1;10.033098442;53.562855278
2;2018;1;19;4;3;2;6;2;0;1;0;0;0;0;0;10.000468032;53.613513289
2;2018;2;20;7;3;6;4;2;0;1;1;0;0;0;0;10.03050004;53.560930911
2;2018;4;10;5;3;2;6;0;0;1;0;0;1;0;1;9.936822712;53.470994674
2;2018;3;8;5;3;5;2;0;1;1;0;0;0;0;1;10.022543683;53.574075686
2;2018;4;11;7;3;1;5;0;0;1;0;0;0;1;0;9.94426651;53.57026712
2;2018;1;15;2;3;3;6;0;0;1;0;0;0;0;1;10.011741564;53.548049985
2;2018;4;1;6;3;9;1;2;0;1;0;0;0;0;1;10.01275038;53.547691935
2;2018;3;15;1;3;2;6;0;0;1;0;0;0;0;0;9.907864995;53.646827996
2;2018;4;18;1;3;2;6;0;0;1;0;0;0;0;0;9.914395968;53.620653216
2;2018;1;8;3;3;5;2;0;1;1;0;0;0;0;0;9.986256872;53.547772454
2;2018;3;12;7;3;6;2;0;0;1;1;0;0;0;0;10.02379334;53.573007327
2;2018;3;4;1;3;9;1;2;0;1;0;0;0;0;0;10.2324016;53.479373629
2;2018;5;17;3;3;4;7;0;0;1;0;0;0;0;0;10.017609606;53.586469141
2;2018;4;14;3;3;8;6;0;0;1;0;0;0;1;0;10.122624634;53.529857363
2;2018;1;16;1;3;2;6;1;0;1;0;0;0;0;1;10.041373653;53.552607586
2;2018;2;15;3;3;2;6;0;0;1;0;0;0;0;0;9.941178696;53.563586629
